label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width
NUMBER,0.01234375,1,1,0.0999999999999999,0.4736842105263157,1,4,5,3,89.70471954345703,0.2475373148918151,0.0060455766495302,0.0,0.88,0.04
NUMBER,0.01765625,1,1,0.0999999999999999,0.4976744186046511,1,8,6,3,122.73492431640624,0.2297318428754806,0.0093289158502388,0.0,0.865,0.037
NUMBER,0.01453125,1,1,0.0909090909090909,0.4272727272727272,1,9,6,2,101.44253540039062,0.1619851738214492,0.0088242999452275,0.0,0.875,0.035
NUMBER,0.02171875,1,2,0.1111111111111111,0.5810185185185185,1,12,11,2,147.0940399169922,0.3247493505477905,0.0137697699499796,0.0,0.83,0.042
NUMBER,0.01953125,1,2,0.0999999999999999,0.5019607843137255,1,12,9,2,166.9191436767578,0.2141049355268478,0.0129926827947727,0.0,0.845,0.0358333333333333
NUMBER,0.015,1,1,0.1111111111111111,0.6158730158730159,1,15,7,2,106.40980529785156,0.3076629638671875,0.0079802273326043,0.0,0.87,0.036
NUMBER,0.0215625,1,2,0.1,0.5068181818181818,1,8,6,2,186.92062377929688,0.2005838304758072,0.0118730236496075,0.0,0.865,0.0325
NUMBER,0.0121875,1,1,0.1111111111111111,0.5723905723905723,1,5,6,1,114.9806671142578,0.278653085231781,0.0075179000750518,0.0,0.915,0.0383333333333333
NUMBER,0.01109375,1,1,0.1111111111111111,0.4848484848484848,1,3,5,0,107.44200897216795,0.1204635500907898,0.0066910042408876,0.0,0.925,0.0475
NUMBER,0.0259375,1,1,0.0909090909090909,0.5266955266955267,1,19,12,2,214.6838531494141,0.1804700493812561,0.0173273826103522,0.0,0.8,0.0385714285714285
NUMBER,0.01515625,1,2,0.0909090909090909,0.4571428571428571,1,7,5,1,111.15258026123048,0.3072787225246429,0.0092326273045393,0.0,0.88,0.034
NUMBER,0.01875,1,4,0.1,0.6114285714285714,1,10,7,2,142.5368194580078,0.3027762174606323,0.0103494873013086,0.0,0.875,0.035
