sample_id,label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width
NUM_086,NUMBER,0.00984375,1,1,0.09090909090909091,0.375366568914956,1,6,4,2,76.28795623779297,0.28962796926498413,0.0056934393962256875,0.0,0.905,0.04166666666666667
NUM_087,NUMBER,0.016875,1,1,0.09999999999999999,0.5078431372549019,1,12,10,2,129.7994384765625,0.23131011426448822,0.012882063609841092,0.0,0.875,0.029166666666666664
NUM_088,NUMBER,0.01796875,1,2,0.09999999999999999,0.6696969696969697,1,9,6,2,158.75961303710938,0.24169884622097015,0.008635880383052618,0.0,0.88,0.034
NUM_089,NUMBER,0.01515625,1,2,0.1,0.4342857142857143,1,8,7,1,147.56675720214844,0.229019433259964,0.010579885561661085,0.0,0.905,0.03375
NUM_090,NUMBER,0.0165625,1,1,0.09999999999999999,0.4717948717948718,1,4,6,2,123.88755798339844,0.23031002283096313,0.007786838493530857,0.0,0.88,0.04
NUM_091,NUMBER,0.01765625,1,1,0.09999999999999999,0.44313725490196076,1,10,6,2,150.5045166015625,0.3173617124557495,0.0123426552973172,0.0,0.865,0.0325
NUM_092,NUMBER,0.00953125,1,1,0.09999999999999999,0.46206896551724136,1,10,5,2,64.67961120605469,0.2904195189476013,0.008001272999819987,0.0,0.91,0.025
NUM_093,NUMBER,0.0171875,1,1,0.09999999999999999,0.558974358974359,1,10,8,2,121.2612075805664,0.3417077660560608,0.00982022775895533,0.0,0.86,0.038
NUM_094,NUMBER,0.02359375,1,2,0.1111111111111111,0.654320987654321,1,12,9,2,186.63232421875,0.3115709125995636,0.014019551905795373,0.0,0.835,0.0375
NUM_095,NUMBER,0.02046875,1,1,0.09999999999999999,0.46190476190476193,1,13,9,2,175.8925323486328,0.1571304351091385,0.014497662921674745,0.0,0.835,0.03357142857142857
NUM_096,NUMBER,0.01359375,1,2,0.1,0.5838709677419355,1,3,5,2,125.31547546386719,0.30626070499420166,0.0069711318518383214,0.0,0.905,0.0325
NUM_097,NUMBER,0.011875,1,2,0.1111111111111111,0.5972222222222222,1,6,6,2,77.85594177246094,0.3168585002422333,0.006435192897535994,0.0,0.91,0.0325
NUM_098,NUMBER,0.02328125,1,2,0.1,0.494,1,7,8,2,226.75259399414062,0.4376910328865051,0.015222437330457196,0.0,0.855,0.034166666666666665
NUM_099,NUMBER,0.01046875,1,2,0.1111111111111111,0.6533333333333333,1,4,5,2,85.73150634765625,0.30040621757507324,0.005717729418822262,0.0,0.92,0.03666666666666667
NUM_100,NUMBER,0.019375,1,2,0.09090909090909091,0.5827505827505828,1,7,9,2,156.1038360595703,0.3574281930923462,0.013303163008357327,0.0,0.85,0.04
NUM_101,NUMBER,0.01671875,1,1,0.09999999999999999,0.48157894736842105,1,4,6,2,125.4994888305664,0.49234122037887573,0.009288017422628142,0.0,0.865,0.04375
NUM_102,NUMBER,0.0278125,1,2,0.09999999999999999,0.6018867924528302,1,14,14,2,216.92332458496094,0.17925651371479034,0.01587079224864405,0.0,0.815,0.035
NUM_103,NUMBER,0.01796875,1,2,0.1111111111111111,0.5802469135802469,1,9,6,2,132.33006286621094,0.186961367726326,0.009870539150267378,0.0,0.845,0.040999999999999995
NUM_104,NUMBER,0.0103125,1,1,0.1111111111111111,0.6990740740740741,1,7,4,2,79.103271484375,0.3538188338279724,0.0064110277621917625,0.0,0.925,0.03333333333333333
NUM_105,NUMBER,0.0165625,1,3,0.1,0.5857142857142857,1,8,7,2,132.59918212890625,0.4438483417034149,0.009577248314307374,0.0,0.88,0.034
NUM_106,NUMBER,0.020625,1,2,0.1111111111111111,0.5061728395061729,1,10,7,2,129.8161163330078,0.3712790012359619,0.009218495304202311,0.0,0.85,0.035
NUM_107,NUMBER,0.02140625,1,2,0.09999999999999999,0.5098039215686274,1,12,11,3,153.5808563232422,0.2257787138223648,0.01362353933324273,0.0,0.84,0.03666666666666667
NUM_108,NUMBER,0.0171875,1,3,0.08333333333333333,0.5344827586206896,1,8,6,1,158.39306640625,0.2853855788707733,0.011263125770524166,0.0,0.9,0.035
NUM_109,NUMBER,0.009375,1,1,0.1111111111111111,0.5644444444444444,1,7,4,1,69.52857208251953,0.20071394741535187,0.005827658395862194,0.0,0.93,0.03333333333333333
NUM_110,NUMBER,0.01671875,1,1,0.1111111111111111,0.7047619047619048,1,5,7,2,134.42608642578125,0.23368334770202637,0.009357562448719763,0.0,0.865,0.037000000000000005
NUM_111,NUMBER,0.0175,1,1,0.1111111111111111,0.6634920634920635,1,8,7,2,131.86643981933594,0.3681448996067047,0.008072788919073016,0.0,0.87,0.0425
NUM_112,NUMBER,0.01546875,1,1,0.09090909090909091,0.5036855036855037,1,5,6,2,132.77261352539062,0.3574255108833313,0.007648512765523461,0.0,0.865,0.04375
NUM_113,NUMBER,0.0121875,1,1,0.09999999999999999,0.691304347826087,1,5,4,1,98.30999755859375,0.2663566470146179,0.0061079515234868575,0.0,0.915,0.03833333333333334
