character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,95,59,0.211864406779661,1.2118644067796611,483.46531677246094,25.5184256785045,80.09221607553783,1.0,105.37492370605469,1,0,1.0,0.8461538461538461,33.0,0.6471608925660934,1,45.0,0.0,800,1495,565,1293,,11.733,44.733,95.333,23.9,39.833,67.75,103.75,47.375
4,96,68,0.9705882352941176,1.5441176470588236,592.3124685287476,29.02938691574997,85.5299070956802,1.0,137.02728176116943,1,0,1.0,0.8625,34.5,0.6637909779843089,1,46.0,0.0,591,1741,603,832,,4.333,26.8,84.4,13.333,42.6,79.467,121.267,53.867
4,97,78,0.7435897435897436,-0.41025641025641024,518.9212789535522,28.029830209701352,79.63886080090117,1.0,147.11149501800537,1,0,1.0,0.9509803921568627,48.5,0.7384875558029562,1,62.0,0.0,644,1906,504,778,,6.85,38.9,68.2,13.8,46.1,75.75,89.267,46.867
4,98,76,0.75,-0.4342105263157895,540.0591697692871,28.93629231317523,83.75230623491198,1.0,151.3052635192871,1,0,1.0,0.95,47.5,0.7232610082606272,1,61.0,0.0,641,2537,798,659,,12.1,44.067,69.2,12.667,84.625,84.583,106.917,55.917
4,99,63,0.3253968253968254,1.0873015873015872,463.22882747650146,24.32105944424074,75.92236045796857,1.0,113.42758846282959,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,568,1798,668,1062,,15.467,49.0,63.533,17.0,44.417,91.667,104.083,51.25
4,100,79,0.7531645569620253,-0.33544303797468356,553.9417715072632,29.1776746303031,83.40708260194795,1.0,157.1128225326538,1,0,1.0,0.95,47.5,0.7232610082606272,1,61.0,0.0,644,2588,458,685,,6.9,39.3,68.733,13.733,57.625,94.25,109.583,57.667
4,101,57,0.11403508771929824,1.236842105263158,524.8928184509277,27.012445993855764,88.47152408503555,1.0,110.35412216186523,1,0,1.0,0.8157894736842105,31.0,0.6079390202893604,1,43.0,0.0,817,1524,584,1323,,10.6,43.333,98.867,19.0,41.333,68.583,108.0,46.0
4,102,68,0.9705882352941176,1.5441176470588236,635.9758062362671,30.120084987104704,88.56467893787902,1.0,147.09668636322021,1,0,1.0,0.8625,34.5,0.6637909779843089,1,46.0,0.0,609,1796,621,868,,4.6,27.4,86.933,14.267,43.733,81.8,126.533,55.733
4,103,56,0.17857142857142858,1.0357142857142858,558.2322072982788,27.31144049144016,91.83529788176504,1.0,132.21990871429443,1,0,1.0,0.9545454545454546,31.5,0.7436781659348073,1,43.0,0.0,558,1988,721,1157,,14.0,47.8,65.267,11.7,47.667,97.25,115.167,52.875
4,104,63,1.119047619047619,1.5476190476190477,470.77484130859375,26.395612621364805,82.70439969005788,1.0,120.6292724609375,1,0,1.0,0.8829787234042553,41.5,0.6699853143519977,1,55.0,0.0,843,2249,580,587,,6.5,44.75,72.0,8.667,50.0,94.333,110.333,66.667
4,105,58,0.27586206896551724,1.1206896551724137,513.103328704834,25.89288261434481,83.12297951631523,1.0,124.44616317749023,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,566,1905,702,1117,,15.067,48.867,64.867,15.1,46.583,95.083,110.75,52.875
