Country,Country_Code,Fertility_2010,Migration_Rate_2010,GDP_Growth_2010,Life_Expectancy_2010,Population_Change_Percent,Score_V1,Score_V2,Predicted_Group,Actual_Group
Namibia,NAM,3.657,-4.037328462122911,4.40996877603639,56.093,25.627082236276138,1.8697101909444251,2.043925681123434,Stable,High Growth
Nauru,NRU,4.019,-24.494672906502043,-0.428390793882855,60.074,15.373892263267946,-0.3395320465203324,-0.7795548736194853,Stable,High Growth
Nepal,NPL,2.541,-9.873581813032223,4.16886489216166,66.772,3.921124578084257,-0.7067433465326388,-0.5631364214634191,Stable,Low Growth
Netherlands,NLD,1.79,2.0284201506145445,0.800960653466348,80.7024390243902,4.390386409133602,-1.6942915078269825,-1.9782459912135473,Low Growth,Low Growth
New Zealand,NZL,2.17,1.5450387293998669,0.336940895877831,80.9048780487805,14.445951226239456,-1.5075211445736438,-1.8503837580745954,Stable,Moderate Growth
Nicaragua,NIC,2.596,-5.068628049046179,2.9388092403868,71.761,13.005899833549748,-0.7882136834418338,-0.8007645020843518,Stable,Moderate Growth
Niger,NER,7.64,-0.485411812976563,4.60766589552573,57.08,38.666903138498874,4.797790656199307,4.9971041458657535,Moderate Growth,High Growth
Nigeria,NGA,5.948,0.28783706974445944,5.02853779310237,51.315,25.709321308801623,4.402999492713877,4.655743415241157,High Growth,High Growth
North America,NAC,1.90241045540461,5.2980997808185455,1.83184752632984,78.8169547045614,7.122180184011283,-1.0792092037963368,-1.2322907727288843,Low Growth,Low Growth
North Macedonia,MKD,1.6,-8.563950638596967,4.02171749784563,74.9975609756098,-3.5984212078520352,-2.1824964730658096,-2.05757017033778,Declining,Declining
Northern Mariana Islands,MNP,2.982,-29.33944648832523,3.70912591649699,77.8,-11.022166349300253,-3.5931802123629013,-3.507937964560561,Stable,Declining
Norway,NOR,1.95,8.767189745997957,-0.460631240331892,80.9975609756098,9.38065781841476,-0.9658773410475077,-1.409993149928807,Low Growth,Moderate Growth
OECD members,OED,1.7911408975842,2.6172023314918778,2.25908360375269,79.0473008520596,5.527445346041181,-1.4420731400770983,-1.5409163322448711,Low Growth,Low Growth
Oman,OMN,2.973,10.414347189391924,-0.232906393185388,77.184,66.50338755500562,0.33487862827417336,-0.0803271079074176,Moderate Growth,High Growth
Other small states,OSS,2.57095295288463,-0.7297210178190872,1.26649468093692,69.566524844548,10.52368574176065,-0.1261390970066822,-0.350993211035204,Moderate Growth,Moderate Growth
Pacific island small states,PSS,3.51570587097517,-7.037654860511426,2.51426013771324,67.9059171883101,12.197830085537733,0.09613113355244185,0.029683054348838098,Stable,Moderate Growth
Pakistan,PAK,4.398,-2.1677578090403133,-0.97547471765489,64.378,15.841198035844851,1.5810934032833048,1.0716173030465215,Stable,High Growth
Palau,PLW,1.937,-21.3089802130898,0.790317696963982,68.347,-3.2507066753642095,-2.411741034360393,-2.697046659926121,Declining,Declining
Panama,PAN,2.587,1.365013703877736,4.19797204867427,76.417,16.70550235838982,-0.7157509390503627,-0.5684488089062222,Moderate Growth,High Growth
