Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.73538842831436
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.888
Benin,BEN,Net migration,SM.POP.NETM,3366
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.383
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.124745932153232
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,0.431459657274573
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.251
Bermuda,BMU,Net migration,SM.POP.NETM,286
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.448
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.05479153201512
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,0.66444642692507
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.005
Bhutan,BTN,Net migration,SM.POP.NETM,287
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.688
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.789012054636089
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.40657823805422
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.82
Bolivia,BOL,Net migration,SM.POP.NETM,-8981
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.509
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.16260485448264
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.23185506471358
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.394
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-27841
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.906
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.57639091729142
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.42262847077389
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.167
Botswana,BWA,Net migration,SM.POP.NETM,-11770
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.705
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.562970837578547
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.651994346081362
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.809
Brazil,BRA,Net migration,SM.POP.NETM,-129216
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,0.941
British Virgin Islands,VGB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,4.8931677135622
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.845
British Virgin Islands,VGB,Net migration,SM.POP.NETM,419
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.819
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.72616486759021
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.10621350885567
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.049
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,456
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.79
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.26444792337858
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-1.41171852077109
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1121951219512
Bulgaria,BGR,Net migration,SM.POP.NETM,-2156
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.681
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.24391866186016
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.52989803984158
