Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2019 [YR2019]
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.61559986287267,0.475051848593893
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.407743308362451,0.176538259610281
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.488,76.495
Barbados,BRB,Net migration,SM.POP.NETM,-36,-65
Barbados,BRB,"Population, total",SP.POP.TOTL,275243,281207
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.494,1.382
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.98573282581962,1.65136750420831
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.218522755959381,-0.201786600970723
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.4048780487805,74.2268292682927
Belarus,BLR,Net migration,SM.POP.NETM,10300,-33954
Belarus,BLR,"Population, total",SP.POP.TOTL,9483836,9419758
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.86,1.6
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.77618341639121,1.89071932044187
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.913639391631709,0.540461327098122
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.1829268292683,81.9951219512195
Belgium,BEL,Net migration,SM.POP.NETM,105232,58469
Belgium,BEL,"Population, total",SP.POP.TOTL,10895586,11488980
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.552,2.142
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.29537328094713,2.75346463455901
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2.41171251993503,1.46284533510266
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.875,72.577
Belize,BLZ,Net migration,SM.POP.NETM,1639,-606
Belize,BLZ,"Population, total",SP.POP.TOTL,320245,385829
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.452,4.9
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.888244805144353,3.98211326561793
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.98424162798508,2.73538842831436
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.387,59.888
Benin,BEN,Net migration,SM.POP.NETM,3947,3366
Benin,BEN,"Population, total",SP.POP.TOTL,9797484,12726755
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.767,1.383
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.74767294578886,-0.124745932153232
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,0.251394586009326,0.431459657274573
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.414,81.251
Bermuda,BMU,Net migration,SM.POP.NETM,-201,286
Bermuda,BMU,"Population, total",SP.POP.TOTL,63725,64107
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.252,1.448
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.7124208428696,5.05479153201512
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.0954380761045,0.66444642692507
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.765,72.005
Bhutan,BTN,Net migration,SM.POP.NETM,-922,287
Bhutan,BTN,"Population, total",SP.POP.TOTL,701632,764824
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.213,2.688
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.42845713052706,0.789012054636089
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.64440681785103,1.40657823805422
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.003,67.82
Bolivia,BOL,Net migration,SM.POP.NETM,-12590,-8981
Bolivia,BOL,"Population, total",SP.POP.TOTL,10182345,11671386
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.26,1.509
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.67372248880544,4.16260485448264
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.77665932121615,-1.23185506471358
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.827,77.394
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-67228,-27841
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3811472,3345533
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.135,2.906
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.82114700196456,1.57639091729142
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.10943597528371,1.42262847077389
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.137,67.167
Botswana,BWA,Net migration,SM.POP.NETM,5151,-11770
Botswana,BWA,"Population, total",SP.POP.TOTL,2033111,2332083
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.786,1.705
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.62782994932327,0.562970837578547
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.84088322514573,0.651994346081362
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.779,75.809
Brazil,BRA,Net migration,SM.POP.NETM,-261539,-129216
Brazil,BRA,"Population, total",SP.POP.TOTL,193701929,207455459
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.183,0.941
British Virgin Islands,VGB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,1.66509594565746,4.8931677135622
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.289,76.845
British Virgin Islands,VGB,Net migration,SM.POP.NETM,-125,419
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,27675,36395
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.937,1.819
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.808737710775503,2.72616486759021
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.89897689252094,1.10621350885567
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.82,75.049
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,2479,456
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,392332,442680
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.57,1.79
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.22607879962553,5.26444792337858
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.658275446635908,-1.41171852077109
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.5121951219512,75.1121951219512
Bulgaria,BGR,Net migration,SM.POP.NETM,-21668,-2156
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599,6616726
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.936,4.681
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.31934915891263,3.24391866186016
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.92577947499021,2.52989803984158
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.343,60.184
Burkina Faso,BFA,Net migration,SM.POP.NETM,-42055,-25240
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16176498,20961952
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.26,5.271
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.316683987792786,-1.47633483230206
Burundi,BDI,Population growth (annual %),SP.POP.GROW,4.68101057302388,3.28367531420808
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.088,62.18
Burundi,BDI,Net migration,SM.POP.NETM,11845,14253
Burundi,BDI,"Population, total",SP.POP.TOTL,9376444,12255336
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.329,1.698
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.10867941118087,6.80449531732363
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,0.717181999615317,0.134109462358547
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.507,75.449
Cabo Verde,CPV,Net migration,SM.POP.NETM,-5069,-4001
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,509784,514104
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.859,2.725
Cambodia,KHM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.45435117133705,6.58272364852731
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.55621745380597,1.26258301009769
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.311,70.127
Cambodia,KHM,Net migration,SM.POP.NETM,-49781,-57268
Cambodia,KHM,"Population, total",SP.POP.TOTL,14500726,16481304
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.154,4.651
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.000136421484427274,0.636415290549962
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.85766146651935,2.78164441246944
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.965,61.695
Cameroon,CMR,Net migration,SM.POP.NETM,-9366,-12255
Cameroon,CMR,"Population, total",SP.POP.TOTL,19668066,25506095
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.65,1.47
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.95144744690714,0.429657601305934
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.11135202971694,1.46171259938134
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.3221951219512,82.1636585365854
Canada,CAN,Net migration,SM.POP.NETM,225369,387685
Canada,CAN,"Population, total",SP.POP.TOTL,34005902,37618495
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.694,1.508
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.37886645271013,1.77641822923059
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,2.77574348652733,2.08009420729087
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.069,79.052
Cayman Islands,CYM,Net migration,SM.POP.NETM,978,859
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,54099,67327
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.963,6.09
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.47038096593693,1.72290159793216
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,-0.799202484181735,1.34469255324203
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.871,31.53
Central African Republic,CAF,Net migration,SM.POP.NETM,-43126,-36849
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4492995,4944703
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.99,6.412
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.92359181592764,2.04928608343727
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.46077094768596,3.21991132048391
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.107,52.993
Chad,TCD,Net migration,SM.POP.NETM,10427,-29451
Chad,TCD,"Population, total",SP.POP.TOTL,12312575,16685223
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.58,1.35
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.28117501896055,1.15023329351136
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,0.70224119137965,0.417438625700863
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2,81.2
Channel Islands,CHI,Net migration,SM.POP.NETM,742,900
Channel Islands,CHI,"Population, total",SP.POP.TOTL,158621,165639
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.844,1.43
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.79363748014636,-0.962096016030856
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.00455362363927,1.59911795256016
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.095,80.324
Chile,CHL,Net migration,SM.POP.NETM,26048,181339
Chile,CHL,"Population, total",SP.POP.TOTL,17181464,19197744
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.687,1.496
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.0634243207535,5.6929006014863
China,CHN,Population growth (annual %),SP.POP.GROW,0.482959688678361,0.354740890170827
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.668,77.94
China,CHN,Net migration,SM.POP.NETM,-184144,-656091
China,CHN,"Population, total",SP.POP.TOTL,1337705000,1407745000
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.01,1.71
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.31434936742798,1.36014067984289
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.13596836363633,1.78615507724394
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.876,76.793
Colombia,COL,Net migration,SM.POP.NETM,-34220,396826
Colombia,COL,"Population, total",SP.POP.TOTL,44777319,49907985
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.755,4.138
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.73828086409912,1.65415614580486
Comoros,COM,Population growth (annual %),SP.POP.GROW,1.98790768401212,1.92385702700328
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.747,65.662
Comoros,COM,Net migration,SM.POP.NETM,-3832,-2916
Comoros,COM,"Population, total",SP.POP.TOTL,654836,786578
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.587,6.253
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.74773143955383,1.12791372118168
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.18751592835336,3.1695285579572
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.411,60.242
"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,8823,-144920
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,68563038,92947442
"Congo, Rep.",COG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.851,4.38
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.47046970435608,-1.27988440285151
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,4.14243050486562,2.40634419722279
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.731,63.152
"Congo, Rep.",COG,Net migration,SM.POP.NETM,12318,-6268
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4462290,5616661
Costa Rica,CRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.827,1.6
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.06134325895124,1.56255641347028
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,1.24057536472066,0.838278384859255
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.354,80.296
Costa Rica,CRI,Net migration,SM.POP.NETM,2357,1653
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4555962,4999553
Cote d'Ivoire,CIV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.292,4.523
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.5193074547668,3.96244737490909
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.20359114199838,2.61916841176218
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.282,60.274
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,-182689,2043
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,22488065,28193009
