filename,predicted_class,confidence
cell_r15_c17_blob_1_word_2_char_00.png,6,0.765
cell_r15_c17_blob_1_word_2_char_01.png,2,0.993
cell_r15_c17_blob_1_word_3_char_01.png,2,0.9994
cell_r15_c17_blob_1_word_3_char_02.png,2,0.7487
cell_r15_c17_blob_1_word_3_char_04.png,2,0.9214
cell_r15_c17_blob_1_word_3_char_05.png,5,0.7887
cell_r15_c18_blob_1_word_3_char_01.png,2,0.9953
cell_r15_c6_blob_1_word_1_char_00.png,4,0.998
cell_r15_c6_blob_1_word_2_char_00.png,0,0.8997
cell_r15_c6_blob_1_word_3_char_00.png,6,0.9989
cell_r15_c6_blob_1_word_3_char_03.png,2,1.0
cell_r15_c6_blob_1_word_3_char_04.png,5,0.9606
cell_r15_c8_blob_1_word_1_char_00.png,0,0.5765
cell_r16_c10_blob_1_word_1_char_00.png,3,0.9943
cell_r16_c10_blob_1_word_2_char_01.png,2,0.9959
cell_r16_c10_blob_1_word_3_char_01.png,2,0.8521
cell_r16_c11_blob_1_word_1_char_00.png,6,0.9642
cell_r16_c11_blob_1_word_2_char_00.png,6,0.8573
cell_r16_c11_blob_1_word_2_char_02.png,3,0.9926
cell_r16_c11_blob_1_word_3_char_00.png,2,1.0
cell_r16_c11_blob_1_word_3_char_02.png,9,0.9983
cell_r16_c11_blob_1_word_3_char_03.png,4,1.0
cell_r16_c11_blob_1_word_4_char_00.png,2,0.985
cell_r16_c14_blob_1_word_2_char_00.png,6,0.5673
cell_r16_c14_blob_1_word_3_char_01.png,2,0.9817
cell_r16_c14_blob_1_word_3_char_02.png,9,0.6915
cell_r16_c14_blob_1_word_3_char_03.png,5,0.98
cell_r16_c14_blob_1_word_3_char_04.png,0,0.9999
cell_r16_c15_blob_1_word_2_char_00.png,2,1.0
cell_r16_c15_blob_1_word_2_char_02.png,5,0.9321
cell_r16_c15_blob_1_word_4_char_00.png,2,0.6155
cell_r16_c15_blob_1_word_4_char_01.png,0,0.9956
cell_r16_c17_blob_1_word_1_char_00.png,4,0.9995
cell_r16_c17_blob_1_word_2_char_02.png,9,0.3863
cell_r16_c17_blob_1_word_3_char_00.png,2,0.9994
cell_r16_c17_blob_1_word_3_char_01.png,3,0.9998
cell_r16_c17_blob_1_word_4_char_00.png,6,0.9441
cell_r16_c17_blob_1_word_4_char_01.png,2,1.0
cell_r16_c18_blob_1_word_2_char_01.png,5,0.9993
cell_r16_c18_blob_1_word_4_char_01.png,6,0.5503
cell_r16_c6_blob_1_word_1_char_00.png,3,0.9863
cell_r16_c6_blob_1_word_2_char_00.png,7,0.9998
cell_r16_c6_blob_1_word_2_char_01.png,3,0.9976
cell_r16_c6_blob_1_word_5_char_01.png,3,0.3773
cell_r17_c10_blob_1_word_1_char_00.png,2,0.7944
cell_r17_c10_blob_1_word_2_char_01.png,8,0.5431
cell_r17_c10_blob_1_word_2_char_02.png,3,0.8104
cell_r17_c10_blob_1_word_3_char_01.png,2,0.3107
cell_r17_c11_blob_1_word_1_char_00.png,5,0.9983
cell_r17_c11_blob_1_word_3_char_00.png,6,0.9986
cell_r17_c11_blob_1_word_3_char_01.png,4,0.4241
