filename,num_tokens,num_words,num_numbers,num_other,dominant
cell_r0_c0_blob_1_word_1.png,0,0,0,0,none
cell_r0_c0_blob_2_word_1.png,0,0,0,0,none
cell_r0_c1_blob_1_word_1.png,1,1,0,0,words
cell_r0_c1_blob_1_word_2.png,0,0,0,0,none
cell_r0_c2_blob_1_word_1.png,1,0,0,1,other
cell_r0_c2_blob_1_word_2.png,1,0,0,1,other
cell_r0_c2_blob_1_word_3.png,0,0,0,0,none
cell_r0_c3_blob_1_word_1.png,0,0,0,0,none
cell_r0_c3_blob_1_word_2.png,0,0,0,0,none
cell_r0_c4_blob_1_word_1.png,0,0,0,0,none
cell_r0_c4_blob_1_word_10.png,0,0,0,0,none
cell_r0_c4_blob_1_word_11.png,0,0,0,0,none
cell_r0_c4_blob_1_word_12.png,0,0,0,0,none
cell_r0_c4_blob_1_word_13.png,1,1,0,0,words
cell_r0_c4_blob_1_word_14.png,3,3,0,0,words
cell_r0_c4_blob_1_word_15.png,0,0,0,0,none
cell_r0_c4_blob_1_word_16.png,0,0,0,0,none
cell_r0_c4_blob_1_word_17.png,0,0,0,0,none
cell_r0_c4_blob_1_word_18.png,0,0,0,0,none
cell_r0_c4_blob_1_word_19.png,0,0,0,0,none
cell_r0_c4_blob_1_word_2.png,0,0,0,0,none
cell_r0_c4_blob_1_word_20.png,0,0,0,0,none
cell_r0_c4_blob_1_word_21.png,0,0,0,0,none
cell_r0_c4_blob_1_word_22.png,2,2,0,0,words
cell_r0_c4_blob_1_word_23.png,1,1,0,0,words
cell_r0_c4_blob_1_word_24.png,1,0,0,1,other
cell_r0_c4_blob_1_word_25.png,0,0,0,0,none
cell_r0_c4_blob_1_word_26.png,1,0,0,1,other
cell_r0_c4_blob_1_word_3.png,0,0,0,0,none
cell_r0_c4_blob_1_word_4.png,0,0,0,0,none
cell_r0_c4_blob_1_word_5.png,0,0,0,0,none
cell_r0_c4_blob_1_word_6.png,0,0,0,0,none
cell_r0_c4_blob_1_word_7.png,0,0,0,0,none
cell_r0_c4_blob_1_word_8.png,1,0,0,1,other
cell_r0_c4_blob_1_word_9.png,0,0,0,0,none
cell_r10_c0_blob_1_word_1.png,0,0,0,0,none
cell_r10_c10_blob_1_word_1.png,0,0,0,0,none
cell_r10_c10_blob_1_word_2.png,0,0,0,0,none
cell_r10_c10_blob_1_word_3.png,1,1,0,0,words
cell_r10_c10_blob_1_word_4.png,0,0,0,0,none
cell_r10_c11_blob_1_word_1.png,1,1,0,0,words
cell_r10_c11_blob_1_word_2.png,2,1,0,1,words
cell_r10_c12_blob_1_word_1.png,0,0,0,0,none
cell_r10_c13_blob_1_word_1.png,0,0,0,0,none
cell_r10_c14_blob_1_word_1.png,0,0,0,0,none
cell_r10_c14_blob_1_word_2.png,0,0,0,0,none
cell_r10_c14_blob_1_word_3.png,0,0,0,0,none
cell_r10_c15_blob_1_word_1.png,0,0,0,0,none
cell_r10_c15_blob_1_word_2.png,0,0,0,0,none
cell_r10_c15_blob_1_word_3.png,1,1,0,0,words
cell_r10_c16_blob_1_word_1.png,1,1,0,0,words
cell_r10_c17_blob_1_word_1.png,0,0,0,0,none
cell_r10_c17_blob_1_word_2.png,0,0,0,0,none
cell_r10_c17_blob_1_word_3.png,0,0,0,0,none
cell_r10_c17_blob_1_word_4.png,0,0,0,0,none
cell_r10_c18_blob_1_word_1.png,0,0,0,0,none
cell_r10_c18_blob_1_word_2.png,0,0,0,0,none
cell_r10_c18_blob_1_word_3.png,0,0,0,0,none
cell_r10_c18_blob_1_word_4.png,0,0,0,0,none
cell_r10_c1_blob_1_word_1.png,0,0,0,0,none
cell_r10_c1_blob_1_word_2.png,0,0,0,0,none
cell_r10_c1_blob_1_word_3.png,1,1,0,0,words
cell_r10_c1_blob_1_word_4.png,0,0,0,0,none
cell_r10_c1_blob_1_word_5.png,0,0,0,0,none
cell_r10_c4_blob_1_word_1.png,0,0,0,0,none
cell_r10_c6_blob_1_word_1.png,0,0,0,0,none
cell_r10_c6_blob_1_word_2.png,1,0,0,1,other
cell_r10_c6_blob_1_word_3.png,0,0,0,0,none
cell_r10_c6_blob_1_word_4.png,0,0,0,0,none
cell_r10_c7_blob_1_word_1.png,1,1,0,0,words
cell_r10_c8_blob_1_word_1.png,0,0,0,0,none
cell_r10_c9_blob_1_word_1.png,1,0,1,0,numbers
cell_r11_c0_blob_1_word_1.png,1,0,1,0,numbers
cell_r11_c10_blob_1_word_1.png,0,0,0,0,none
cell_r11_c10_blob_1_word_2.png,1,1,0,0,words
cell_r11_c10_blob_1_word_3.png,1,1,0,0,words
cell_r11_c10_blob_1_word_4.png,0,0,0,0,none
cell_r11_c10_blob_1_word_5.png,0,0,0,0,none
cell_r11_c10_blob_1_word_6.png,0,0,0,0,none
cell_r11_c11_blob_1_word_1.png,1,0,0,1,other
cell_r11_c12_blob_1_word_1.png,1,0,1,0,numbers
cell_r11_c12_blob_1_word_2.png,1,1,0,0,words
cell_r11_c13_blob_1_word_1.png,1,1,0,0,words
cell_r11_c14_blob_1_word_1.png,1,0,1,0,numbers
cell_r11_c14_blob_1_word_2.png,0,0,0,0,none
cell_r11_c14_blob_1_word_3.png,0,0,0,0,none
cell_r11_c15_blob_1_word_1.png,0,0,0,0,none
cell_r11_c15_blob_1_word_2.png,0,0,0,0,none
cell_r11_c15_blob_1_word_3.png,0,0,0,0,none
cell_r11_c15_blob_1_word_4.png,1,1,0,0,words
cell_r11_c16_blob_1_word_1.png,1,1,0,0,words
cell_r11_c17_blob_1_word_1.png,1,1,0,0,words
cell_r11_c17_blob_1_word_2.png,0,0,0,0,none
cell_r11_c17_blob_1_word_3.png,1,1,0,0,words
cell_r11_c17_blob_1_word_4.png,0,0,0,0,none
cell_r11_c18_blob_1_word_1.png,0,0,0,0,none
cell_r11_c18_blob_1_word_2.png,0,0,0,0,none
cell_r11_c18_blob_1_word_3.png,0,0,0,0,none
cell_r11_c18_blob_1_word_4.png,1,0,1,0,numbers
cell_r11_c1_blob_1_word_1.png,0,0,0,0,none
cell_r11_c1_blob_1_word_2.png,0,0,0,0,none
cell_r11_c1_blob_1_word_3.png,1,1,0,0,words
cell_r11_c1_blob_1_word_4.png,0,0,0,0,none
cell_r11_c1_blob_1_word_5.png,0,0,0,0,none
cell_r11_c4_blob_1_word_1.png,2,1,0,1,words
cell_r11_c5_blob_1_word_1.png,0,0,0,0,none
cell_r11_c6_blob_1_word_1.png,1,0,0,1,other
cell_r11_c6_blob_1_word_2.png,0,0,0,0,none
cell_r11_c6_blob_1_word_3.png,1,0,0,1,other
cell_r11_c6_blob_1_word_4.png,0,0,0,0,none
cell_r11_c7_blob_1_word_1.png,1,1,0,0,words
cell_r11_c7_blob_1_word_2.png,1,1,0,0,words
cell_r11_c7_blob_1_word_3.png,0,0,0,0,none
cell_r11_c8_blob_1_word_1.png,0,0,0,0,none
cell_r12_c0_blob_1_word_1.png,1,1,0,0,words
cell_r12_c1_blob_1_word_1.png,1,1,0,0,words
cell_r12_c1_blob_1_word_2.png,1,1,0,0,words
cell_r12_c1_blob_1_word_3.png,0,0,0,0,none
cell_r12_c1_blob_1_word_4.png,0,0,0,0,none
cell_r12_c1_blob_1_word_5.png,1,0,0,1,other
cell_r12_c1_blob_1_word_6.png,1,0,0,1,other
cell_r12_c1_blob_1_word_7.png,2,2,0,0,words
cell_r12_c1_blob_1_word_8.png,1,1,0,0,words
cell_r12_c1_blob_1_word_9.png,0,0,0,0,none
cell_r12_c1_blob_2_word_1.png,0,0,0,0,none
cell_r12_c1_blob_2_word_2.png,0,0,0,0,none
cell_r12_c1_blob_2_word_3.png,0,0,0,0,none
cell_r12_c1_blob_2_word_4.png,1,0,0,1,other
cell_r12_c1_blob_2_word_5.png,0,0,0,0,none
cell_r12_c1_blob_2_word_6.png,0,0,0,0,none
cell_r12_c3_blob_1_word_1.png,1,1,0,0,words
cell_r13_c0_blob_1_word_1.png,1,0,0,1,other
cell_r13_c10_blob_1_word_1.png,0,0,0,0,none
cell_r13_c10_blob_1_word_2.png,0,0,0,0,none
cell_r13_c11_blob_1_word_1.png,0,0,0,0,none
cell_r13_c11_blob_1_word_2.png,1,0,0,1,other
cell_r13_c11_blob_1_word_3.png,1,0,1,0,numbers
cell_r13_c11_blob_1_word_4.png,0,0,0,0,none
cell_r13_c12_blob_1_word_1.png,1,1,0,0,words
cell_r13_c13_blob_1_word_1.png,1,0,1,0,numbers
cell_r13_c14_blob_1_word_1.png,0,0,0,0,none
cell_r13_c15_blob_1_word_1.png,0,0,0,0,none
cell_r13_c15_blob_1_word_2.png,0,0,0,0,none
cell_r13_c16_blob_1_word_1.png,0,0,0,0,none
cell_r13_c17_blob_1_word_1.png,0,0,0,0,none
cell_r13_c17_blob_1_word_2.png,0,0,0,0,none
cell_r13_c17_blob_1_word_3.png,1,1,0,0,words
cell_r13_c17_blob_1_word_4.png,0,0,0,0,none
cell_r13_c18_blob_1_word_1.png,0,0,0,0,none
cell_r13_c18_blob_1_word_2.png,0,0,0,0,none
cell_r13_c1_blob_1_word_1.png,1,1,0,0,words
cell_r13_c1_blob_1_word_2.png,0,0,0,0,none
cell_r13_c1_blob_1_word_3.png,1,0,0,1,other
cell_r13_c1_blob_1_word_4.png,0,0,0,0,none
cell_r13_c1_blob_1_word_5.png,0,0,0,0,none
cell_r13_c4_blob_1_word_1.png,0,0,0,0,none
cell_r13_c5_blob_1_word_1.png,1,1,0,0,words
cell_r13_c6_blob_1_word_1.png,0,0,0,0,none
cell_r13_c6_blob_1_word_2.png,0,0,0,0,none
cell_r13_c7_blob_1_word_1.png,0,0,0,0,none
cell_r13_c7_blob_1_word_2.png,0,0,0,0,none
cell_r13_c8_blob_1_word_1.png,1,1,0,0,words
cell_r13_c9_blob_1_word_1.png,1,1,0,0,words
cell_r14_c0_blob_1_word_1.png,0,0,0,0,none
cell_r14_c10_blob_1_word_1.png,1,0,0,1,other
cell_r14_c10_blob_1_word_2.png,0,0,0,0,none
cell_r14_c10_blob_1_word_3.png,0,0,0,0,none
cell_r14_c11_blob_1_word_1.png,0,0,0,0,none
cell_r14_c11_blob_1_word_2.png,0,0,0,0,none
cell_r14_c11_blob_1_word_3.png,1,1,0,0,words
cell_r14_c12_blob_1_word_1.png,0,0,0,0,none
cell_r14_c13_blob_1_word_1.png,1,1,0,0,words
cell_r14_c14_blob_1_word_1.png,0,0,0,0,none
cell_r14_c14_blob_1_word_2.png,1,0,0,1,other
cell_r14_c15_blob_1_word_1.png,1,0,1,0,numbers
cell_r14_c15_blob_1_word_2.png,1,1,0,0,words
cell_r14_c15_blob_1_word_3.png,1,1,0,0,words
cell_r14_c16_blob_1_word_1.png,1,0,1,0,numbers
cell_r14_c17_blob_1_word_1.png,0,0,0,0,none
cell_r14_c17_blob_1_word_2.png,0,0,0,0,none
cell_r14_c18_blob_1_word_1.png,0,0,0,0,none
cell_r14_c18_blob_1_word_2.png,0,0,0,0,none
cell_r14_c1_blob_1_word_1.png,1,1,0,0,words
cell_r14_c1_blob_1_word_2.png,1,1,0,0,words
cell_r14_c1_blob_1_word_3.png,0,0,0,0,none
cell_r14_c1_blob_1_word_4.png,1,1,0,0,words
cell_r14_c1_blob_1_word_5.png,1,1,0,0,words
cell_r14_c1_blob_1_word_6.png,0,0,0,0,none
cell_r14_c4_blob_1_word_1.png,0,0,0,0,none
cell_r14_c6_blob_1_word_1.png,0,0,0,0,none
cell_r14_c6_blob_1_word_2.png,2,1,1,0,mixed
cell_r14_c7_blob_1_word_1.png,0,0,0,0,none
cell_r14_c7_blob_1_word_2.png,0,0,0,0,none
cell_r14_c8_blob_1_word_1.png,0,0,0,0,none
cell_r14_c9_blob_1_word_1.png,1,1,0,0,words
cell_r15_c0_blob_1_word_1.png,1,1,0,0,words
